Date,Open,High,Low,Close,Adj Close,Volume
07-Sep-84,26.5,26.87,26.25,26.5,3.02,2981600
10-Sep-84,26.5,26.62,25.87,26.37,3.01,2346400
11-Sep-84,26.62,27.37,26.62,26.87,3.07,5444000
12-Sep-84,26.87,27,26.12,26.12,2.98,4773600
13-Sep-84,27.5,27.62,27.5,27.5,3.14,7429600
14-Sep-84,27.62,28.5,27.62,27.87,3.18,8826400
17-Sep-84,28.62,29,28.62,28.62,3.27,6886400
18-Sep-84,28.62,28.87,27.62,27.62,3.15,3495200
19-Sep-84,27.62,27.87,27,27,3.08,3816000
20-Sep-84,27.12,27.37,27.12,27.12,3.09,2387200
21-Sep-84,27.12,27.87,26.5,26.87,3.07,3591200
24-Sep-84,26.87,27,26.62,26.62,3.04,2833600
25-Sep-84,26.5,26.5,26.12,26.12,2.98,5977600
26-Sep-84,26.12,27.25,25.75,25.75,2.94,3987200
27-Sep-84,25.75,25.87,25.75,25.75,2.94,3796000
28-Sep-84,25.75,25.75,24.62,25.12,2.87,8344800
01-Oct-84,25,25,24.5,24.5,2.8,3521600
02-Oct-84,24.75,25.62,24.75,24.75,2.82,4258400
03-Oct-84,25.12,25.5,25.12,25.12,2.87,4335200
04-Oct-84,25.37,25.62,25.37,25.37,2.89,4482400
05-Oct-84,25.37,25.37,24.75,24.87,2.84,3510400
08-Oct-84,24.87,25,24.87,24.87,2.84,1721600
09-Oct-84,24.87,25,24.62,24.62,2.81,4515200
10-Oct-84,24.62,24.62,23.87,23.87,2.72,13070400
11-Oct-84,23.87,24.5,23.75,23.75,2.71,6553600
12-Oct-84,23.75,23.87,22.5,22.75,2.6,9522400
15-Oct-84,24,24.25,24,24,2.74,8715200
16-Oct-84,24,24.12,23.87,23.87,2.72,4246400
17-Oct-84,24.87,25,24.87,24.87,2.84,5636000
18-Oct-84,25.62,25.75,25.62,25.62,2.92,8842400
19-Oct-84,25.62,27.37,25.5,25.62,2.92,11673600
22-Oct-84,25.62,26,25.37,25.37,2.89,4108800
23-Oct-84,26,26.25,26,26,2.97,6668800
24-Oct-84,26.25,26.5,26.25,26.25,3,5989600
25-Oct-84,26.25,26.25,25.25,25.25,2.88,5676000
26-Oct-84,25.25,25.25,24.5,24.62,2.81,4113600
29-Oct-84,24.75,24.87,24.75,24.75,2.82,1836000
30-Oct-84,25,25.25,25,25,2.85,2677600
31-Oct-84,25,25.25,24.87,24.87,2.84,2191200
01-Nov-84,25,25.25,25,25,2.85,1680000
02-Nov-84,25,25.12,24.75,24.87,2.84,1004800
05-Nov-84,24.87,25.37,24.75,24.75,2.82,3764800
06-Nov-84,26.25,26.37,26.25,26.25,3,8073600
07-Nov-84,26.25,26.37,25.75,25.75,2.94,8286400
08-Nov-84,25.75,25.75,24.75,24.75,2.82,3162400
09-Nov-84,24.75,24.87,23,23.25,2.65,10518400
12-Nov-84,24.12,24.25,24.12,24.12,2.75,4070400
13-Nov-84,24.12,24.62,23.5,23.5,2.68,4548800
14-Nov-84,23.75,24,23.75,23.75,2.71,3752800
15-Nov-84,23.75,24,23.75,23.75,2.71,3833600
16-Nov-84,23.75,24.12,23.12,23.25,2.65,5920000
19-Nov-84,23.25,23.37,21.87,21.87,2.5,8321600
20-Nov-84,22.62,22.75,22.62,22.62,2.58,9424800
21-Nov-84,23.12,23.25,23.12,23.12,2.64,6418400
23-Nov-84,23.37,24.12,23.37,23.75,2.71,4904800
26-Nov-84,24,24,24,24,2.74,3636000
27-Nov-84,24.62,24.87,24.62,24.62,2.81,4590400
28-Nov-84,25.87,26.5,25.87,25.87,2.95,14673600
29-Nov-84,25.87,25.87,25.37,25.37,2.89,6248800
30-Nov-84,25.37,25.62,24.62,24.75,2.82,3906400
03-Dec-84,24.75,24.87,24.37,24.37,2.78,3533600
04-Dec-84,24.87,25.37,24.87,24.87,2.84,4332800
05-Dec-84,26.12,26.12,26.12,26.12,2.98,9406400
06-Dec-84,27.37,27.5,27.37,27.37,3.12,11360000
07-Dec-84,27.37,28.37,27.12,27.25,3.11,17696000
10-Dec-84,27.25,27.25,26.75,26.75,3.05,4016000
11-Dec-84,26.75,27.12,26.37,26.37,3.01,4432800
12-Dec-84,26.37,26.37,25.5,25.5,2.91,3937600
13-Dec-84,25.75,26.25,25.75,25.75,2.94,2424800
14-Dec-84,25.75,26.62,25.75,26.37,3.01,3475200
17-Dec-84,27,27.25,27,27,3.08,4513600
18-Dec-84,28.62,28.75,28.62,28.62,3.27,12164800
19-Dec-84,28.62,28.75,27.5,27.5,3.14,11372800
20-Dec-84,27.5,28,27.37,27.37,3.12,5013600
21-Dec-84,27.37,27.5,26.75,27,3.08,4438400
24-Dec-84,27.5,27.62,27.5,27.5,3.14,2418400
26-Dec-84,27.62,27.87,27.62,27.62,3.15,2444000
27-Dec-84,27.75,27.87,27.75,27.75,3.17,3531200
28-Dec-84,27.75,28.87,27.62,28.75,3.28,5941600
31-Dec-84,29.12,29.25,29.12,29.12,3.32,7453600
02-Jan-85,29.12,29.12,27.87,27.87,3.18,6272800
03-Jan-85,28.37,29.12,28.37,28.37,3.24,5967200
04-Jan-85,28.37,28.5,28,28.37,3.24,4915200
07-Jan-85,28.37,28.5,28.25,28.25,3.22,6117600
08-Jan-85,28.25,28.5,28,28,3.19,5040000
09-Jan-85,28.75,29.12,28.75,28.75,3.28,5973600
10-Jan-85,30,30.12,30,30,3.42,9926400
11-Jan-85,30,30.25,29.5,29.75,3.39,7347200
14-Jan-85,30.62,30.87,30.62,30.62,3.49,9691200
15-Jan-85,30.62,31.12,30,30,3.42,9476000
16-Jan-85,30.25,30.75,30.25,30.25,3.45,6816000
17-Jan-85,30.25,30.75,28.12,28.12,3.21,19573600
18-Jan-85,28.12,29.25,28,28.62,3.27,12615200
21-Jan-85,29.25,29.5,29.25,29.25,3.34,11635200
22-Jan-85,30.12,30.25,30.12,30.12,3.44,15202400
23-Jan-85,30.12,30.25,29.62,29.62,3.38,15384000
24-Jan-85,29.62,29.62,29,29,3.31,14192800
25-Jan-85,29,29.62,28.37,29.62,3.38,11381600
28-Jan-85,30.25,30.62,30.25,30.25,3.45,14721600
29-Jan-85,30.25,30.5,29.87,29.87,3.41,8029600
30-Jan-85,29.87,30.5,29.87,29.87,3.41,17624800
31-Jan-85,29.87,30,29,29,3.31,9880000
01-Feb-85,29,29.12,28.37,28.62,3.27,4941600
04-Feb-85,29.25,29.37,29.25,29.25,3.34,7801600
05-Feb-85,29.5,30,29.5,29.5,3.37,6824800
06-Feb-85,30,30,30,30,3.42,6980000
07-Feb-85,30,30.37,29.87,29.87,3.41,8793600
08-Feb-85,29.87,30,29.5,29.87,3.41,4757600
11-Feb-85,30.5,30.75,30.5,30.5,3.48,12431200
12-Feb-85,30.5,30.62,29.75,29.75,3.39,8095200
13-Feb-85,29.75,29.75,28.37,28.37,3.24,18835200
14-Feb-85,28.37,28.62,27.62,27.62,3.15,15268800
15-Feb-85,27.62,28.12,27.37,28,3.19,6224000
19-Feb-85,27.87,27.87,27.62,27.62,3.15,5391200
20-Feb-85,27.62,27.75,26.37,26.37,3.01,7864800
21-Feb-85,26.87,27,26.87,26.87,3.07,11035200
22-Feb-85,26.87,27.87,26.87,27.62,3.15,8096000
25-Feb-85,27.62,27.75,27.25,27.25,3.11,3564000
26-Feb-85,27.25,27.37,26.75,26.75,3.05,6764800
27-Feb-85,26.75,26.75,25.12,25.12,2.87,14421600
28-Feb-85,25.12,25.12,24.75,24.75,2.82,11415200
01-Mar-85,24.75,24.87,24,24.87,2.84,8857600
04-Mar-85,25.25,26,25.25,25.25,2.88,5484000
05-Mar-85,25.87,25.87,25.87,25.87,2.95,4687200
06-Mar-85,25.87,25.87,24.62,24.62,2.81,6933600
07-Mar-85,24.62,24.75,22.12,22.12,2.52,26244000
08-Mar-85,22.12,22.12,20.75,21.5,2.45,16931200
11-Mar-85,22.25,22.37,22.25,22.25,2.54,10244800
12-Mar-85,23,23.25,23,23,2.62,7880000
13-Mar-85,23,23,21.75,21.75,2.48,8973600
14-Mar-85,21.75,21.87,21.75,21.75,2.48,8667200
15-Mar-85,21.75,23.12,21.62,22.62,2.58,6524000
18-Mar-85,22.87,23.12,22.87,22.87,2.61,4487200
19-Mar-85,22.87,23.12,22,22,2.51,6147200
20-Mar-85,22.25,22.62,22.25,22.25,2.54,14498400
21-Mar-85,22.62,23,22.62,22.62,2.58,5826400
22-Mar-85,22.62,23,22.25,22.25,2.54,2910400
25-Mar-85,22.25,22.25,21.62,21.62,2.47,3931200
26-Mar-85,22.5,22.5,22.5,22.5,2.57,4346400
27-Mar-85,22.5,22.75,21.87,21.87,2.5,4008800
28-Mar-85,21.87,22.25,21.87,21.87,2.5,4667200
29-Mar-85,21.87,22.25,21.87,22.12,2.52,3155200
01-Apr-85,22.12,22.62,21.62,21.62,2.47,4115200
02-Apr-85,21.62,21.75,21,21,2.4,8146400
03-Apr-85,21,21.12,21,21,2.4,8681600
04-Apr-85,21,21.12,20.62,20.87,2.38,5792800
08-Apr-85,20.87,21,19.62,19.62,2.24,7129600
09-Apr-85,19.62,19.75,19.62,19.62,2.24,9461600
10-Apr-85,21,21.25,21,21,2.4,8117600
11-Apr-85,21.37,22,21.37,21.37,2.44,5260000
12-Apr-85,21.37,21.37,20.75,20.87,2.38,2607200
15-Apr-85,21.37,21.62,21.37,21.37,2.44,2168800
16-Apr-85,21.62,21.75,21.62,21.62,2.47,2424800
17-Apr-85,22.62,22.87,22.62,22.62,2.58,4402400
18-Apr-85,22.87,23,22.87,22.87,2.61,7246400
19-Apr-85,22.87,22.87,22.37,22.5,2.57,3468800
22-Apr-85,22.5,22.5,21.62,21.62,2.47,3700000
23-Apr-85,22.12,22.25,22.12,22.12,2.52,4261600
24-Apr-85,22.12,22.5,22,22,2.51,2830400
25-Apr-85,22,22.12,22,22,2.51,3135200
26-Apr-85,22,22.62,21.87,21.87,2.5,4295200
29-Apr-85,21.87,22,21.12,21.12,2.41,2256000
30-Apr-85,21.25,21.37,21.25,21.25,2.42,3396000
01-May-85,21.25,21.37,20.87,20.87,2.38,2075200
02-May-85,20.62,20.62,19.25,19.25,2.2,11787200
03-May-85,19.25,20.12,19.25,20,2.28,5673600
06-May-85,20,20.25,19.75,19.75,2.25,2007200
07-May-85,20,20,20,20,2.28,3844800
08-May-85,19.87,19.87,19.87,19.87,2.27,5177600
09-May-85,20,20.12,20,20,2.28,4571200
10-May-85,20,20.5,20,20.25,2.31,4893600
13-May-85,20.25,20.37,20,20,2.28,3157600
14-May-85,20,20.12,19.75,19.75,2.25,4364000
15-May-85,20,20.37,20,20,2.28,4668800
16-May-85,21.37,22,21.37,21.37,2.44,8275200
17-May-85,21.37,22.12,21.25,21.75,2.48,7592800
20-May-85,21.75,22.25,21.37,21.37,2.44,7044000
21-May-85,21.25,21.25,20.75,20.75,2.37,5452800
22-May-85,20.75,20.87,20.62,20.62,2.35,4342400
23-May-85,20.5,20.5,19.75,19.75,2.25,8576000
24-May-85,19.75,19.75,18.12,18.12,2.07,21060000
28-May-85,17.87,17.87,16.87,16.87,1.92,18253600
29-May-85,17.12,17.25,17.12,17.12,1.95,8808800
30-May-85,17.62,17.87,17.62,17.62,2.01,11273600
31-May-85,17.62,18,17.37,17.37,1.98,13235200
03-Jun-85,17,17,16,16,1.83,20578400
04-Jun-85,17.25,17.37,17.25,17.25,1.97,14373600
05-Jun-85,17.25,17.75,16.87,16.87,1.92,10267200
06-Jun-85,17,17,17,17,1.94,9688800
07-Jun-85,17,17,16.37,16.37,1.87,16980000
10-Jun-85,16.37,16.5,16.12,16.12,1.84,11296000
11-Jun-85,16.12,16.5,16.12,16.12,1.84,10751200
12-Jun-85,16.12,16.25,15.75,15.75,1.8,8888800
13-Jun-85,15.75,15.88,14.88,14.88,1.7,13573600
14-Jun-85,14.88,15.75,14.75,14.75,1.68,20226400
17-Jun-85,14.88,15,14.88,14.88,1.7,8464000
18-Jun-85,15.25,15.5,15.25,15.25,1.74,9489600
19-Jun-85,15.63,15.88,15.63,15.63,1.78,6177600
20-Jun-85,15.75,15.75,15.75,15.75,1.8,6822400
21-Jun-85,16.12,16.5,16.12,16.12,1.84,5941600
24-Jun-85,17.25,17.5,17.25,17.25,1.97,7387200
25-Jun-85,17.5,17.87,17.5,17.5,2,10506400
26-Jun-85,18.12,18.12,18.12,18.12,2.07,4722400
27-Jun-85,18.37,18.5,18.37,18.37,2.1,6915200
28-Jun-85,18.37,18.5,18,18,2.05,4875200
01-Jul-85,18.12,18.25,18.12,18.12,2.07,3702400
02-Jul-85,18.12,18.25,17.25,17.25,1.97,2807200
03-Jul-85,17.5,17.5,17.5,17.5,2,2472800
05-Jul-85,17.62,17.75,17.62,17.62,2.01,1321600
08-Jul-85,17.62,17.75,17.62,17.62,2.01,3301600
09-Jul-85,17.62,17.75,17.62,17.62,2.01,5284000
10-Jul-85,18,18,18,18,2.05,3802400
11-Jul-85,18,18.12,18,18,2.05,2361600
12-Jul-85,18,18,17.87,17.87,2.04,1680000
15-Jul-85,17.87,18.25,17.75,17.75,2.03,2804800
16-Jul-85,17.75,17.87,17.5,17.5,2,5120000
17-Jul-85,17.62,17.87,17.62,17.62,2.01,4255200
18-Jul-85,17.62,17.62,17.25,17.25,1.97,6437600
19-Jul-85,17.37,17.37,17.37,17.37,1.98,4117600
22-Jul-85,17.37,17.37,16.87,16.87,1.92,6906400
23-Jul-85,16.87,17.12,16.5,16.5,1.88,6038400
24-Jul-85,16.5,16.75,16.25,16.25,1.85,6040000
25-Jul-85,16.62,16.75,16.62,16.62,1.9,11282400
26-Jul-85,16.62,16.75,16.62,16.62,1.9,4673600
29-Jul-85,16.62,16.62,16,16,1.83,2808800
30-Jul-85,16.25,16.37,16.25,16.25,1.85,3237600
31-Jul-85,16.25,16.37,15.88,15.88,1.81,2917600
01-Aug-85,15.88,16.12,15.88,15.88,1.81,1842400
02-Aug-85,15.88,15.88,15.75,15.75,1.8,3501600
05-Aug-85,15.75,15.88,15.38,15.38,1.75,3307200
06-Aug-85,15.38,15.75,15.25,15.25,1.74,2260000
07-Aug-85,15.25,16,14.88,14.88,1.7,5452800
08-Aug-85,15.13,15.25,15.13,15.13,1.73,5321600
09-Aug-85,15.25,15.25,15.25,15.25,1.74,2186400
12-Aug-85,15.25,15.25,15,15,1.71,1988800
13-Aug-85,15.25,15.5,15.25,15.25,1.74,1555200
14-Aug-85,15.25,15.25,14.63,14.63,1.67,10372800
15-Aug-85,14.63,14.75,14.5,14.5,1.65,3800000
16-Aug-85,14.63,14.88,14.63,14.63,1.67,3008800
19-Aug-85,15,15.25,15,15,1.71,1726400
20-Aug-85,15.25,15.25,15.25,15.25,1.74,2431200
21-Aug-85,15.25,15.25,15.25,15.25,1.74,2767200
22-Aug-85,15.25,15.25,14.88,14.88,1.7,4406400
23-Aug-85,14.88,15,14.75,14.75,1.68,1601600
26-Aug-85,15.13,15.13,15.13,15.13,1.73,1315200
27-Aug-85,15.25,15.25,15.25,15.25,1.74,1540000
28-Aug-85,15.25,15.38,15.25,15.25,1.74,1475200
29-Aug-85,15.25,15.25,14.88,14.88,1.7,2006400
30-Aug-85,15,15,15,15,1.71,1537600
03-Sep-85,15,15,14.75,14.75,1.68,1369600
04-Sep-85,14.88,15.13,14.88,14.88,1.7,1708800
05-Sep-85,14.88,15,14.88,14.88,1.7,1201600
06-Sep-85,15,15,15,15,1.71,3333600
09-Sep-85,15.25,15.38,15.25,15.25,1.74,4728800
10-Sep-85,15.38,15.63,15.38,15.38,1.75,4364800
11-Sep-85,15.5,15.63,15.5,15.5,1.77,3150400
12-Sep-85,16.12,16.12,16.12,16.12,1.84,3998400
13-Sep-85,16.12,16.12,15.75,15.75,1.8,2541600
16-Sep-85,15.75,15.75,15.25,15.25,1.74,1344000
17-Sep-85,15.25,15.25,15.25,15.25,1.74,6564000
18-Sep-85,16.25,16.25,16.25,16.25,1.85,4316000
19-Sep-85,17,17,17,17,1.94,6662400
20-Sep-85,17,17.12,16.75,16.75,1.91,4846400
23-Sep-85,16.87,17.12,16.87,16.87,1.92,4277600
24-Sep-85,16.87,17.25,16.5,16.5,1.88,3161600
25-Sep-85,16.5,16.5,15.88,15.88,1.81,3761600
26-Sep-85,15.88,16,15.88,15.88,1.81,1949600
27-Sep-85,15.88,16,15.88,15.88,1.81,250400
