Date,Open,High,Low,Close,Adj Close,Volume
13-Mar-86,25.5,29.25,25.5,28,0.08,1031788800
14-Mar-86,28,29.5,28,29,0.08,308160000
17-Mar-86,29,29.75,29,29.5,0.08,133171200
18-Mar-86,29.5,29.75,28.5,28.75,0.08,67766400
19-Mar-86,28.75,29,28,28.25,0.08,47894400
20-Mar-86,28.25,28.25,27.25,27.5,0.08,58435200
21-Mar-86,27.5,28,26.25,26.75,0.07,59990400
24-Mar-86,26.75,26.75,25.75,26,0.07,65289600
25-Mar-86,26,26.5,25.75,26.5,0.07,32083200
26-Mar-86,26.5,27.5,26.25,27.25,0.07,22752000
27-Mar-86,27.25,27.75,27.25,27.75,0.08,16848000
31-Mar-86,27.75,27.75,27,27.5,0.08,12873600
01-Apr-86,27.5,27.5,27.25,27.25,0.07,11088000
02-Apr-86,27.25,28,27.25,27.5,0.08,27014400
03-Apr-86,27.75,28.5,27.75,27.75,0.08,23040000
04-Apr-86,27.75,28,27.75,27.75,0.08,26582400
07-Apr-86,27.75,28,26.75,27.25,0.07,16560000
08-Apr-86,27.25,28,27.25,27.5,0.08,10252800
09-Apr-86,27.5,28.25,27.5,28,0.08,12153600
10-Apr-86,28,28.5,27.5,28.25,0.08,13881600
11-Apr-86,28.5,29.25,28.5,28.75,0.08,17222400
14-Apr-86,28.75,29.25,28.75,29,0.08,12153600
15-Apr-86,29,29,28,29,0.08,9302400
16-Apr-86,29,30.25,28.75,30,0.08,31910400
17-Apr-86,30,30.25,30,30.25,0.08,22003200
18-Apr-86,30.25,30.25,29,29.25,0.08,21628800
21-Apr-86,29.25,29.5,28.5,29.25,0.08,22924800
22-Apr-86,29.25,29.25,28.75,28.75,0.08,15552000
23-Apr-86,28.75,29,28.5,28.87,0.08,15609600
24-Apr-86,28.87,32.25,28.75,31.75,0.09,62352000
25-Apr-86,32,35.13,32,33.75,0.09,85795200
28-Apr-86,33.75,34.25,33.5,34,0.09,28886400
29-Apr-86,34,34,32.75,33,0.09,30326400
30-Apr-86,33,33.25,31.5,32.25,0.09,30902400
01-May-86,32.25,32.25,31.25,31.75,0.09,54345600
02-May-86,31.75,32.25,31.5,31.75,0.09,20246400
05-May-86,31.75,31.75,31.5,31.5,0.09,3254400
06-May-86,31.75,32.25,31.75,31.75,0.09,9734400
07-May-86,31.75,32,31.25,31.75,0.09,5155200
08-May-86,31.75,32,31.5,32,0.09,3542400
09-May-86,32,32,31.75,31.75,0.09,6076800
12-May-86,31.75,32.75,31.75,32,0.09,10483200
13-May-86,32,32.5,32,32.25,0.09,3830400
14-May-86,32.25,32.25,32,32,0.09,9302400
15-May-86,32,32.5,32,32,0.09,3801600
16-May-86,32,33,32,32.25,0.09,11952000
19-May-86,32.25,32.25,31.5,31.75,0.09,11001600
20-May-86,31.75,31.75,31.25,31.5,0.09,61977600
21-May-86,31.5,31.75,31,31,0.08,8092800
22-May-86,31,31.25,31,31,0.08,4406400
23-May-86,31,31.5,31,31,0.08,4089600
27-May-86,31,32,31,32,0.09,13881600
28-May-86,32,33,32,33,0.09,15523200
29-May-86,33,34.25,32.75,33.75,0.09,45676800
30-May-86,34,35.5,34,35,0.1,27072000
02-Jun-86,35,35,34,34,0.09,19728000
03-Jun-86,34,34,33.5,34,0.09,5011200
04-Jun-86,34,34.25,33.5,33.75,0.09,4723200
05-Jun-86,33.75,34.25,33.5,34.25,0.09,13708800
06-Jun-86,34.25,34.25,33.75,34.25,0.09,3427200
09-Jun-86,34.25,34.25,32.75,32.75,0.09,12672000
10-Jun-86,32.75,32.75,32.25,32.75,0.09,3427200
11-Jun-86,32.75,32.75,32.25,32.75,0.09,2304000
12-Jun-86,32.75,32.75,31.25,31.5,0.09,13708800
13-Jun-86,31.5,31.75,31.25,31.5,0.09,7891200
16-Jun-86,31.5,31.75,31,31.25,0.09,9590400
17-Jun-86,31.5,32.25,31.5,31.75,0.09,13075200
18-Jun-86,31.75,31.75,31,31.5,0.09,4348800
19-Jun-86,31.5,31.75,31,31.25,0.09,8467200
20-Jun-86,31.25,31.5,31.25,31.37,0.09,3801600
23-Jun-86,31.37,31.75,30.75,31.75,0.09,46195200
24-Jun-86,31.75,32,31.25,31.5,0.09,14572800
25-Jun-86,31.5,31.75,31,31,0.08,15235200
26-Jun-86,31,31.25,30,30,0.08,19152000
27-Jun-86,30,30.25,29.5,29.75,0.08,10396800
30-Jun-86,29.75,31.5,29.5,30.75,0.08,62352000
01-Jul-86,30.75,30.75,30.5,30.75,0.08,47577600
02-Jul-86,30.75,30.75,30.5,30.75,0.08,52617600
03-Jul-86,31,31.5,31,31.25,0.09,14140800
07-Jul-86,31.25,31.25,30,30,0.08,14054400
08-Jul-86,30,30,29,29.25,0.08,14256000
09-Jul-86,29.25,29.25,27.75,28,0.08,46137600
10-Jul-86,28,28.25,26,27.25,0.07,46886400
11-Jul-86,27.25,28.5,27.25,28,0.08,17395200
14-Jul-86,27.25,28.25,27.25,27.62,0.08,28598400
15-Jul-86,27.62,28.5,27.25,28,0.08,13190400
16-Jul-86,28.25,29,28.25,29,0.08,9360000
17-Jul-86,29,29.5,28.75,29.5,0.08,6940800
18-Jul-86,29.5,30,28.75,29.75,0.08,12326400
21-Jul-86,29.75,30.25,29.75,29.75,0.08,3513600
22-Jul-86,29.75,30.75,29.75,30.75,0.08,10512000
23-Jul-86,30.75,31.25,30,30,0.08,20793600
24-Jul-86,30.5,31.5,30.5,31,0.08,14140800
25-Jul-86,31,31.5,31,31.25,0.09,20448000
28-Jul-86,31.25,31.25,30.5,30.5,0.08,11808000
29-Jul-86,30.5,30.75,29.25,29.75,0.08,14054400
30-Jul-86,29.75,29.75,27.75,28.75,0.08,26409600
31-Jul-86,28.75,29,28.5,28.5,0.08,15638400
01-Aug-86,28.5,28.75,28,28.25,0.08,12902400
04-Aug-86,28.25,28.25,27.5,28.25,0.08,12441600
05-Aug-86,28.25,28.5,28,28,0.08,2822400
06-Aug-86,28,28.25,27.25,27.75,0.08,18316800
07-Aug-86,27.75,28,27.25,27.5,0.08,3657600
08-Aug-86,27.5,28.25,27.5,27.75,0.08,4147200
11-Aug-86,28.25,29,28.25,28.75,0.08,7948800
12-Aug-86,28.75,29.5,28.75,29.5,0.08,9993600
13-Aug-86,29.5,29.75,29.25,29.75,0.08,6883200
14-Aug-86,29.75,30.75,29.75,30.5,0.08,20131200
15-Aug-86,30.5,30.75,30.25,30.62,0.08,6105600
18-Aug-86,30.62,30.75,30.25,30.25,0.08,12787200
19-Aug-86,30.25,30.37,29.75,30.25,0.08,20390400
20-Aug-86,30.25,30.25,30,30,0.08,20764800
21-Aug-86,30,30.5,30,30,0.08,49536000
22-Aug-86,30,30.25,29,29.5,0.08,5760000
25-Aug-86,29.5,29.5,29,29.5,0.08,2419200
26-Aug-86,29.5,29.5,29.25,29.25,0.08,10857600
27-Aug-86,29.25,29.5,29,29.25,0.08,9532800
28-Aug-86,29.25,29.5,29.25,29.25,0.08,3427200
29-Aug-86,29.25,29.5,28,28.5,0.08,25430400
02-Sep-86,28.5,28.5,27.37,27.75,0.08,5212800
03-Sep-86,27.5,27.5,26.25,27,0.07,18316800
04-Sep-86,27.5,29.25,27.5,29.25,0.08,39427200
05-Sep-86,29.25,30.5,29,30.5,0.08,26352000
08-Sep-86,30.5,30.75,30.25,30.25,0.08,9619200
09-Sep-86,30.25,31.5,30.25,30.75,0.08,37526400
10-Sep-86,30.75,31,30.25,30.25,0.08,10886400
11-Sep-86,30.25,30.5,29,29,0.08,35654400
12-Sep-86,29,29.25,28.25,28.25,0.08,24451200
15-Sep-86,28.25,28.75,27.75,28.75,0.08,22492800
16-Sep-86,28.75,29,28.25,28.75,0.08,5184000
17-Sep-86,28.75,30,28.5,29.5,0.08,8035200
18-Sep-86,29.5,30.25,29.5,29.75,0.08,5356800
19-Sep-86,29.75,30,29.5,29.75,0.08,2505600
22-Sep-86,29.75,29.75,29.5,29.5,0.08,4492800
23-Sep-86,29.5,30.25,29.5,30,0.08,5961600
24-Sep-86,30,30,29.5,29.62,0.08,4780800
25-Sep-86,29.62,29.75,29,29,0.08,5155200
26-Sep-86,29,29.25,28.75,29,0.08,2332800
29-Sep-86,29,29,28.25,28.25,0.08,6192000
30-Sep-86,28.25,28.75,28.25,28.25,0.08,5184000
01-Oct-86,28.25,28.75,27.5,28,0.08,32428800
02-Oct-86,28,28.5,27.75,28,0.08,22723200
03-Oct-86,28,28.5,28,28.25,0.08,14716800
06-Oct-86,29,31,29,30.5,0.08,85334400
07-Oct-86,30.5,31.75,30.5,31.12,0.08,59788800
08-Oct-86,31.12,32.38,30.75,32,0.09,119606400
09-Oct-86,32,33.75,32,33,0.09,92563200
10-Oct-86,33,35.25,32.5,34.5,0.09,76752000
13-Oct-86,34.5,34.5,33,33,0.09,27129600
14-Oct-86,33.25,33.75,33.25,33.5,0.09,12873600
15-Oct-86,33.5,35.25,33.5,35,0.1,63532800
16-Oct-86,35,35.25,34.75,35,0.1,21859200
17-Oct-86,35,36.25,35,36,0.1,124444800
20-Oct-86,36,36.75,35.25,36.25,0.1,43545600
