Date,Value
03-Jan-50,16.66
04-Jan-50,16.85
05-Jan-50,16.93
06-Jan-50,16.98
09-Jan-50,17.08
10-Jan-50,17.03
11-Jan-50,17.09
12-Jan-50,16.76
13-Jan-50,16.67
16-Jan-50,16.72
17-Jan-50,16.86
18-Jan-50,16.85
19-Jan-50,16.87
20-Jan-50,16.9
23-Jan-50,16.92
24-Jan-50,16.86
25-Jan-50,16.74
26-Jan-50,16.73
27-Jan-50,16.82
30-Jan-50,17.02
31-Jan-50,17.05
01-Feb-50,17.05
02-Feb-50,17.23
03-Feb-50,17.29
06-Feb-50,17.32
07-Feb-50,17.23
08-Feb-50,17.21
09-Feb-50,17.28
10-Feb-50,17.24
14-Feb-50,17.06
15-Feb-50,17.06
16-Feb-50,16.99
17-Feb-50,17.15
20-Feb-50,17.2
21-Feb-50,17.17
23-Feb-50,17.21
24-Feb-50,17.28
27-Feb-50,17.28
28-Feb-50,17.22
01-Mar-50,17.24
02-Mar-50,17.23
03-Mar-50,17.29
06-Mar-50,17.32
07-Mar-50,17.2
08-Mar-50,17.19
09-Mar-50,17.07
10-Mar-50,17.09
13-Mar-50,17.12
14-Mar-50,17.25
15-Mar-50,17.45
16-Mar-50,17.49
17-Mar-50,17.45
20-Mar-50,17.44
21-Mar-50,17.45
22-Mar-50,17.55
23-Mar-50,17.56
24-Mar-50,17.56
27-Mar-50,17.46
28-Mar-50,17.53
29-Mar-50,17.44
30-Mar-50,17.3
31-Mar-50,17.29
03-Apr-50,17.53
04-Apr-50,17.55
05-Apr-50,17.63
06-Apr-50,17.78
10-Apr-50,17.85
11-Apr-50,17.75
12-Apr-50,17.94
13-Apr-50,17.98
14-Apr-50,17.96
17-Apr-50,17.88
18-Apr-50,18.03
19-Apr-50,18.05
20-Apr-50,17.93
21-Apr-50,17.96
24-Apr-50,17.83
25-Apr-50,17.83
26-Apr-50,17.76
27-Apr-50,17.86
28-Apr-50,17.96
01-May-50,18.22
02-May-50,18.11
03-May-50,18.27
04-May-50,18.12
05-May-50,18.22
08-May-50,18.27
09-May-50,18.27
10-May-50,18.29
11-May-50,18.29
12-May-50,18.18
15-May-50,18.26
16-May-50,18.44
17-May-50,18.52
18-May-50,18.56
19-May-50,18.68
22-May-50,18.6
23-May-50,18.71
24-May-50,18.69
25-May-50,18.69
26-May-50,18.67
29-May-50,18.72
31-May-50,18.78
01-Jun-50,18.77
02-Jun-50,18.79
05-Jun-50,18.6
06-Jun-50,18.88
07-Jun-50,18.93
08-Jun-50,19.14
09-Jun-50,19.26
12-Jun-50,19.4
13-Jun-50,19.25
