Date,Value,
31-Jul-01,3.61,0.003008333
01-Aug-01,3.6,0.003
02-Aug-01,3.6,0.003
03-Aug-01,3.58,0.002983333
06-Aug-01,3.58,0.002983333
07-Aug-01,3.57,0.002975
08-Aug-01,3.56,0.002966667
09-Aug-01,3.56,0.002966667
10-Aug-01,3.54,0.00295
13-Aug-01,3.53,0.002941667
14-Aug-01,3.48,0.0029
15-Aug-01,3.47,0.002891667
16-Aug-01,3.43,0.002858333
17-Aug-01,3.41,0.002841667
20-Aug-01,3.43,0.002858333
21-Aug-01,3.41,0.002841667
22-Aug-01,3.41,0.002841667
23-Aug-01,3.44,0.002866667
24-Aug-01,3.44,0.002866667
27-Aug-01,3.47,0.002891667
28-Aug-01,3.47,0.002891667
29-Aug-01,3.43,0.002858333
30-Aug-01,3.36,0.0028
31-Aug-01,3.35,0.002791667
04-Sep-01,3.38,0.002816667
05-Sep-01,3.43,0.002858333
06-Sep-01,3.39,0.002825
07-Sep-01,3.35,0.002791667
10-Sep-01,3.36,0.0028
13-Sep-01,2.69,0.002241667
14-Sep-01,2.48,0.002066667
17-Sep-01,2.4,0.002
18-Sep-01,2.3,0.001916667
19-Sep-01,1.97,0.001641667
20-Sep-01,2,0.001666667
21-Sep-01,2.08,0.001733333
24-Sep-01,2.35,0.001958333
25-Sep-01,2.54,0.002116667
26-Sep-01,2.47,0.002058333
27-Sep-01,2.3,0.001916667
28-Sep-01,2.24,0.001866667
01-Oct-01,2.21,0.001841667
02-Oct-01,2.24,0.001866667
03-Oct-01,2.17,0.001808333
04-Oct-01,2.19,0.001825
05-Oct-01,2.18,0.001816667
09-Oct-01,2.21,0.001841667
10-Oct-01,2.27,0.001891667
11-Oct-01,2.27,0.001891667
12-Oct-01,2.28,0.0019
15-Oct-01,2.31,0.001925
16-Oct-01,2.29,0.001908333
17-Oct-01,2.31,0.001925
18-Oct-01,2.25,0.001875
19-Oct-01,2.27,0.001891667
22-Oct-01,2.27,0.001891667
23-Oct-01,2.28,0.0019
24-Oct-01,2.27,0.001891667
25-Oct-01,2.24,0.001866667
26-Oct-01,2.23,0.001858333
29-Oct-01,2.23,0.001858333
30-Oct-01,2.14,0.001783333
31-Oct-01,2.12,0.001766667
01-Nov-01,2.15,0.001791667
02-Nov-01,2.06,0.001716667
05-Nov-01,2.03,0.001691667
06-Nov-01,1.95,0.001625
07-Nov-01,1.9,0.001583333
08-Nov-01,1.9,0.001583333
09-Nov-01,1.9,0.001583333
13-Nov-01,1.93,0.001608333
14-Nov-01,1.96,0.001633333
15-Nov-01,1.96,0.001633333
16-Nov-01,1.99,0.001658333
19-Nov-01,2,0.001666667
20-Nov-01,1.99,0.001658333
21-Nov-01,1.97,0.001641667
23-Nov-01,1.98,0.00165
26-Nov-01,1.98,0.00165
27-Nov-01,1.98,0.00165
28-Nov-01,1.93,0.001608333
29-Nov-01,1.88,0.001566667
30-Nov-01,1.85,0.001541667
03-Dec-01,1.83,0.001525
04-Dec-01,1.78,0.001483333
05-Dec-01,1.74,0.00145
06-Dec-01,1.7,0.001416667
07-Dec-01,1.66,0.001383333
10-Dec-01,1.65,0.001375
11-Dec-01,1.64,0.001366667
12-Dec-01,1.67,0.001391667
13-Dec-01,1.67,0.001391667
14-Dec-01,1.67,0.001391667
17-Dec-01,1.69,0.001408333
18-Dec-01,1.69,0.001408333
19-Dec-01,1.66,0.001383333
20-Dec-01,1.64,0.001366667
21-Dec-01,1.64,0.001366667
24-Dec-01,1.63,0.001358333
26-Dec-01,1.74,0.00145
27-Dec-01,1.72,0.001433333
28-Dec-01,1.7,0.001416667
31-Dec-01,1.65,0.001375
02-Jan-02,1.7,0.001416667
03-Jan-02,1.7,0.001416667
04-Jan-02,1.69,0.001408333
07-Jan-02,1.68,0.0014
08-Jan-02,1.67,0.001391667
09-Jan-02,1.65,0.001375
10-Jan-02,1.64,0.001366667
11-Jan-02,1.6,0.001333333
14-Jan-02,1.6,0.001333333
15-Jan-02,1.62,0.00135
16-Jan-02,1.6,0.001333333
17-Jan-02,1.57,0.001308333
18-Jan-02,1.57,0.001308333
22-Jan-02,1.64,0.001366667
23-Jan-02,1.67,0.001391667
24-Jan-02,1.66,0.001383333
25-Jan-02,1.66,0.001383333
28-Jan-02,1.68,0.0014
29-Jan-02,1.69,0.001408333
30-Jan-02,1.67,0.001391667
31-Jan-02,1.66,0.001383333
01-Feb-02,1.66,0.001383333
04-Feb-02,1.67,0.001391667
05-Feb-02,1.71,0.001425
06-Feb-02,1.7,0.001416667
07-Feb-02,1.68,0.0014
08-Feb-02,1.66,0.001383333
11-Feb-02,1.7,0.001416667
12-Feb-02,1.73,0.001441667
13-Feb-02,1.72,0.001433333
14-Feb-02,1.72,0.001433333
15-Feb-02,1.69,0.001408333
19-Feb-02,1.7,0.001416667
20-Feb-02,1.72,0.001433333
21-Feb-02,1.73,0.001441667
22-Feb-02,1.72,0.001433333
25-Feb-02,1.73,0.001441667
26-Feb-02,1.75,0.001458333
27-Feb-02,1.74,0.00145
28-Feb-02,1.73,0.001441667
01-Mar-02,1.75,0.001458333
04-Mar-02,1.74,0.00145
05-Mar-02,1.75,0.001458333
06-Mar-02,1.74,0.00145
07-Mar-02,1.74,0.00145
08-Mar-02,1.74,0.00145
11-Mar-02,1.77,0.001475
12-Mar-02,1.79,0.001491667
13-Mar-02,1.77,0.001475
14-Mar-02,1.76,0.001466667
15-Mar-02,1.76,0.001466667
18-Mar-02,1.74,0.00145
19-Mar-02,1.78,0.001483333
20-Mar-02,1.76,0.001466667
21-Mar-02,1.75,0.001458333
22-Mar-02,1.75,0.001458333
25-Mar-02,1.75,0.001458333
26-Mar-02,1.79,0.001491667
27-Mar-02,1.74,0.00145
28-Mar-02,1.73,0.001441667
01-Apr-02,1.76,0.001466667
02-Apr-02,1.76,0.001466667
03-Apr-02,1.74,0.00145
04-Apr-02,1.74,0.00145
05-Apr-02,1.73,0.001441667
08-Apr-02,1.73,0.001441667
09-Apr-02,1.7,0.001416667
10-Apr-02,1.69,0.001408333
11-Apr-02,1.69,0.001408333
12-Apr-02,1.69,0.001408333
15-Apr-02,1.68,0.0014
16-Apr-02,1.68,0.0014
17-Apr-02,1.68,0.0014
18-Apr-02,1.67,0.001391667
19-Apr-02,1.66,0.001383333
22-Apr-02,1.64,0.001366667
23-Apr-02,1.65,0.001375
24-Apr-02,1.64,0.001366667
25-Apr-02,1.65,0.001375
26-Apr-02,1.65,0.001375
29-Apr-02,1.7,0.001416667
30-Apr-02,1.74,0.00145
01-May-02,1.73,0.001441667
02-May-02,1.71,0.001425
03-May-02,1.7,0.001416667
06-May-02,1.71,0.001425
07-May-02,1.74,0.00145
08-May-02,1.73,0.001441667
09-May-02,1.71,0.001425
10-May-02,1.7,0.001416667
13-May-02,1.74,0.00145
14-May-02,1.75,0.001458333
15-May-02,1.73,0.001441667
16-May-02,1.71,0.001425
17-May-02,1.7,0.001416667
20-May-02,1.7,0.001416667
21-May-02,1.7,0.001416667
22-May-02,1.69,0.001408333
23-May-02,1.7,0.001416667
24-May-02,1.68,0.0014
28-May-02,1.71,0.001425
29-May-02,1.7,0.001416667
30-May-02,1.7,0.001416667
31-May-02,1.69,0.001408333
03-Jun-02,1.69,0.001408333
04-Jun-02,1.7,0.001416667
05-Jun-02,1.72,0.001433333
06-Jun-02,1.71,0.001425
07-Jun-02,1.71,0.001425
10-Jun-02,1.72,0.001433333
11-Jun-02,1.72,0.001433333
12-Jun-02,1.71,0.001425
13-Jun-02,1.68,0.0014
14-Jun-02,1.68,0.0014
17-Jun-02,1.67,0.001391667
18-Jun-02,1.67,0.001391667
19-Jun-02,1.66,0.001383333
20-Jun-02,1.65,0.001375
21-Jun-02,1.65,0.001375
24-Jun-02,1.63,0.001358333
25-Jun-02,1.71,0.001425
26-Jun-02,1.69,0.001408333
27-Jun-02,1.67,0.001391667
28-Jun-02,1.66,0.001383333
01-Jul-02,1.68,0.0014
02-Jul-02,1.69,0.001408333
03-Jul-02,1.68,0.0014
05-Jul-02,1.68,0.0014
08-Jul-02,1.7,0.001416667
09-Jul-02,1.69,0.001408333
10-Jul-02,1.7,0.001416667
11-Jul-02,1.69,0.001408333
12-Jul-02,1.68,0.0014
15-Jul-02,1.68,0.0014
16-Jul-02,1.71,0.001425
17-Jul-02,1.69,0.001408333
18-Jul-02,1.69,0.001408333
19-Jul-02,1.69,0.001408333
22-Jul-02,1.69,0.001408333
23-Jul-02,1.7,0.001416667
24-Jul-02,1.67,0.001391667
25-Jul-02,1.68,0.0014
26-Jul-02,1.69,0.001408333
29-Jul-02,1.7,0.001416667
30-Jul-02,1.7,0.001416667
31-Jul-02,1.7,0.001416667
