Date,Price
01-Apr-68,37.7
02-Apr-68,37.3
03-Apr-68,37.6
04-Apr-68,36.95
05-Apr-68,37
08-Apr-68,37.05
09-Apr-68,37.5
10-Apr-68,37.7
11-Apr-68,38
16-Apr-68,38
17-Apr-68,37.8
18-Apr-68,37.55
19-Apr-68,37.65
22-Apr-68,38
23-Apr-68,38.4
24-Apr-68,38.25
25-Apr-68,38.3
26-Apr-68,38.65
29-Apr-68,38.75
30-Apr-68,39.1
01-May-68,39.2
02-May-68,39.45
03-May-68,39.1
06-May-68,39.75
07-May-68,39.3
08-May-68,39.75
09-May-68,39.7
10-May-68,39.6
13-May-68,39.5
14-May-68,39.8
15-May-68,40.25
16-May-68,41.25
17-May-68,41.5
20-May-68,42.3
21-May-68,42.4
22-May-68,41.55
23-May-68,41.4
24-May-68,41.75
27-May-68,41.5
28-May-68,41.5
29-May-68,41.6
30-May-68,41.95
31-May-68,41.95
04-Jun-68,41.15
05-Jun-68,41.2
06-Jun-68,41.2
07-Jun-68,41.25
10-Jun-68,41.3
11-Jun-68,41.55
12-Jun-68,41.9
13-Jun-68,41.3
14-Jun-68,41
17-Jun-68,40.7
18-Jun-68,41.1
19-Jun-68,41.4
20-Jun-68,41.1
21-Jun-68,41.05
24-Jun-68,40.9
25-Jun-68,40.95
26-Jun-68,40.85
27-Jun-68,40.9
28-Jun-68,40.9
01-Jul-68,40.8
02-Jul-68,40.9
03-Jul-68,41.05
04-Jul-68,41.15
05-Jul-68,41
08-Jul-68,40.85
09-Jul-68,39.8
10-Jul-68,40.1
11-Jul-68,39.1
12-Jul-68,39.3
15-Jul-68,39.2
16-Jul-68,38.5
17-Jul-68,37.75
18-Jul-68,38
19-Jul-68,38.7
22-Jul-68,38.6
23-Jul-68,39
24-Jul-68,39.2
25-Jul-68,38.9
26-Jul-68,38.9
29-Jul-68,39.1
30-Jul-68,39
31-Jul-68,38.85
01-Aug-68,38.9
02-Aug-68,38.85
05-Aug-68,38.95
06-Aug-68,38.7
07-Aug-68,38.7
08-Aug-68,38.45
