CUSIP,Announce Date,High Discount Rate,Auction Date,High Equiv Yield,Issue Date,Price at High Rate,Dated Date,Med/Avg Discount Rate,Maturity Date,Med/Avg Equiv Yield,Low Discount Rate,Price at Med/Avg Rate,Low Equiv Yield,Allocation % at High Rate,Price at Low Rate
912795X22,2010-12-23,0.225,2010-12-27,0.228,2010-12-30,99.886250,N/A,0.215,2011-06-30,0.0,0.15,0.000000,0.0,25.96,0.000000
9127952J9,2010-12-23,0.18,2010-12-27,0.183,2010-12-30,99.954500,N/A,0.17,2011-03-31,0.0,0.13,0.000000,0.0,59.34,0.000000
912795X97,2010-12-27,0.065,2010-12-28,0.066,2010-12-30,99.994944,N/A,0.045,2011-01-27,0.0,0.03,0.000000,0.0,74.86,0.000000
9127952C4,2010-12-27,0.12,2010-12-29,0.122,2010-12-30,99.981333,N/A,0.1,2011-02-24,0.0,0.06,0.000000,0.0,11.38,0.000000
9127952W0,2010-12-16,0.185,2010-12-20,0.188,2010-12-23,99.906472,N/A,0.17,2011-06-23,0.0,0.14,0.000000,0.0,22.46,0.000000
9127952H3,2010-12-16,0.13,2010-12-20,0.132,2010-12-23,99.967139,N/A,0.115,2011-03-24,0.0,0.08,0.000000,0.0,38.91,0.000000
912795X89,2010-12-20,0.07,2010-12-21,0.071,2010-12-23,99.994556,N/A,0.05,2011-01-20,0.0,0.0,0.000000,0.0,8.05,0.000000
9127952B6,2010-12-20,0.13,2010-12-22,0.132,2010-12-23,99.979778,N/A,0.115,2011-02-17,0.0,0.1,0.000000,0.0,58.42,0.000000
9127952T7,2010-12-09,0.295,2010-12-14,0.3,2010-12-16,99.701722,N/A,0.28,2011-12-15,0.0,0.25,0.000000,0.0,81.74,0.000000
9127952V2,2010-12-09,0.19,2010-12-13,0.193,2010-12-16,99.903944,N/A,0.175,2011-06-16,0.0,0.15,0.000000,0.0,16.78,0.000000
9127952G5,2010-12-09,0.14,2010-12-13,0.142,2010-12-16,99.964611,N/A,0.13,2011-03-17,0.0,0.1,0.000000,0.0,40.54,0.000000
912795UX7,2010-12-13,0.085,2010-12-14,0.086,2010-12-16,99.993389,N/A,0.08,2011-01-13,0.0,0.05,0.000000,0.0,83.52,0.000000
912795V40,2010-12-13,0.125,2010-12-15,0.127,2010-12-16,99.980556,N/A,0.115,2011-02-10,0.0,0.1,0.000000,0.0,61.17,0.000000
9127952U4,2010-12-02,0.185,2010-12-06,0.188,2010-12-09,99.906472,N/A,0.17,2011-06-09,0.0,0.15,0.000000,0.0,98.09,0.000000
912795V99,2010-12-02,0.145,2010-12-06,0.147,2010-12-09,99.963347,N/A,0.13,2011-03-10,0.0,0.1,0.000000,0.0,10.39,0.000000
912795X71,2010-12-06,0.08,2010-12-07,0.081,2010-12-09,99.993778,N/A,0.065,2011-01-06,0.0,0.04,0.000000,0.0,13.88,0.000000
912795Y21,2010-12-06,0.125,2010-12-08,0.127,2010-12-09,99.980556,N/A,0.115,2011-02-03,0.0,0.09,0.000000,0.0,51.12,0.000000
9127956D8,2010-12-06,0.14,2010-12-07,0.142,2010-12-08,99.997278,N/A,0.12,2010-12-15,0.0,0.1,0.000000,0.0,35.76,0.000000
912795W64,2010-11-24,0.21,2010-11-29,0.213,2010-12-02,99.893833,N/A,0.195,2011-06-02,0.0,0.17,0.000000,0.0,70.14,0.000000
9127952D2,2010-11-24,0.175,2010-11-29,0.178,2010-12-02,99.955764,N/A,0.16,2011-03-03,0.0,0.13,0.000000,0.0,45.58,0.000000
912795X55,2010-11-29,0.175,2010-11-30,0.177,2010-12-02,99.986389,N/A,0.16,2010-12-30,0.0,0.105,0.000000,0.0,10.96,0.000000
912795X97,2010-11-29,0.155,2010-12-01,0.157,2010-12-02,99.975889,N/A,0.145,2011-01-27,0.0,0.13,0.000000,0.0,4.57,0.000000
9127952S9,2010-11-18,0.195,2010-11-22,0.198,2010-11-26,99.901958,N/A,0.185,2011-05-26,0.0,0.15,0.000000,0.0,15.24,0.000000
9127952C4,2010-11-18,0.14,2010-11-22,0.142,2010-11-26,99.965000,N/A,0.13,2011-02-24,0.0,0.1,0.000000,0.0,86.48,0.000000
912795X48,2010-11-22,0.15,2010-11-23,0.152,2010-11-26,99.988750,N/A,0.135,2010-12-23,0.0,0.09,0.000000,0.0,11.08,0.000000
912795X89,2010-11-22,0.16,2010-11-24,0.162,2010-11-26,99.975556,N/A,0.14,2011-01-20,0.0,0.125,0.000000,0.0,4.03,0.000000
9127952P5,2010-11-10,0.28,2010-11-16,0.284,2010-11-18,99.716889,N/A,0.27,2011-11-17,0.0,0.25,0.000000,0.0,18.73,0.000000
9127952R1,2010-11-10,0.18,2010-11-15,0.183,2010-11-18,99.909000,N/A,0.17,2011-05-19,0.0,0.135,0.000000,0.0,89.75,0.000000
9127952B6,2010-11-10,0.135,2010-11-15,0.137,2010-11-18,99.965875,N/A,0.12,2011-02-17,0.0,0.11,0.000000,0.0,64.21,0.000000
912795UK5,2010-11-15,0.125,2010-11-16,0.127,2010-11-18,99.990278,N/A,0.11,2010-12-16,0.0,0.08,0.000000,0.0,61.88,0.000000
912795UX7,2010-11-15,0.125,2010-11-17,0.127,2010-11-18,99.980556,N/A,0.115,2011-01-13,0.0,0.09,0.000000,0.0,19.43,0.000000
9127952Q3,2010-11-04,0.16,2010-11-08,0.162,2010-11-12,99.919556,N/A,0.145,2011-05-12,0.0,0.12,0.000000,0.0,6.27,0.000000
912795V40,2010-11-04,0.125,2010-11-08,0.127,2010-11-12,99.968750,N/A,0.11,2011-02-10,0.0,0.09,0.000000,0.0,32.67,0.000000
912795X30,2010-11-08,0.105,2010-11-09,0.106,2010-11-12,99.992125,N/A,0.1,2010-12-09,0.0,0.08,0.000000,0.0,14.64,0.000000
912795X71,2010-11-08,0.095,2010-11-10,0.096,2010-11-12,99.985486,N/A,0.08,2011-01-06,0.0,0.05,0.000000,0.0,52.16,0.000000
912795VE8,2010-10-28,0.155,2010-11-01,0.157,2010-11-04,99.921639,N/A,0.15,2011-05-05,0.0,0.12,0.000000,0.0,83.84,0.000000
912795Y21,2010-10-28,0.125,2010-11-01,0.127,2010-11-04,99.968403,N/A,0.115,2011-02-03,0.0,0.09,0.000000,0.0,46.81,0.000000
912795W98,2010-11-01,0.125,2010-11-02,0.127,2010-11-04,99.990278,N/A,0.115,2010-12-02,0.0,0.1,0.000000,0.0,85.94,0.000000
912795X55,2010-11-01,0.145,2010-11-03,0.147,2010-11-04,99.977444,N/A,0.13,2010-12-30,0.0,0.1,0.000000,0.0,11.55,0.000000
9127952N0,2010-10-21,0.17,2010-10-25,0.173,2010-10-28,99.914056,N/A,0.155,2011-04-28,0.0,0.12,0.000000,0.0,60.75,0.000000
912795X97,2010-10-21,0.13,2010-10-25,0.132,2010-10-28,99.967139,N/A,0.11,2011-01-27,0.0,0.1,0.000000,0.0,30.54,0.000000
912795W80,2010-10-25,0.13,2010-10-26,0.132,2010-10-28,99.989528,N/A,0.12,2010-11-26,0.0,0.09,0.000000,0.0,38.32,0.000000
912795X48,2010-10-25,0.15,2010-10-27,0.152,2010-10-28,99.976667,N/A,0.145,2010-12-23,0.0,0.11,0.000000,0.0,81.78,0.000000
9127952K6,2010-10-14,0.225,2010-10-19,0.229,2010-10-21,99.772500,N/A,0.21,2011-10-20,0.0,0.15,0.000000,0.0,46.47,0.000000
